Case_ID,Province,Harvest Type,ObsDate,Month_Obs,Year_Obs,Easting,Northing,Species,Sex,CWD Status
60,Alberta,Hunter,"Tuesday, December 09, 2008",12,2008,570000,5860000,Mule Deer,Male,Positive
61,Alberta,Hunter,"Monday, December 08, 2008",12,2008,500000,5850000,Mule Deer,Male,Positive
135,Saskatchewan,Hunter,Undetermined,Undetermined,2009,600000,5830000,Mule Deer,Female,Positive
136,Saskatchewan,Hunter,Undetermined,Undetermined,2009,580000,5850000,Mule Deer,Female,Positive
137,Saskatchewan,Hunter,Undetermined,Undetermined,2009,610000,5920000,Mule Deer,Female,Positive
138,Saskatchewan,Hunter,Undetermined,Undetermined,2009,570000,5870000,Mule Deer,Female,Positive
139,Saskatchewan,Hunter,Undetermined,Undetermined,2009,580000,5860000,Mule Deer,Male,Positive
140,Saskatchewan,Hunter,Undetermined,Undetermined,2009,670000,5860000,Mule Deer,Female,Positive
141,Saskatchewan,Hunter,Undetermined,Undetermined,2009,630000,5850000,Mule Deer,Female,Positive
65,Alberta,Hunter,"Thursday, December 03, 2009",12,2009,550000,5850000,Mule Deer,Male,Positive
66,Alberta,Hunter,"Friday, November 13, 2009",11,2009,520000,5810000,Mule Deer,Female,Positive
68,Alberta,Hunter,"Saturday, November 14, 2009",11,2009,570000,5830000,Mule Deer,Male,Positive
69,Alberta,Hunter,"Thursday, December 03, 2009",12,2009,510000,5840000,Mule Deer,Female,Positive
70,Alberta,Hunter,"Monday, December 07, 2009",12,2009,510000,5850000,Mule Deer,Male,Positive
71,Alberta,Hunter,"Saturday, November 28, 2009",11,2009,490000,5800000,Mule Deer,Male,Positive
72,Alberta,Hunter,"Saturday, November 21, 2009",11,2009,570000,5860000,Mule Deer,Male,Positive
73,Alberta,Hunter,"Saturday, December 05, 2009",12,2009,560000,5860000,White-tailed Deer,Male,Positive
74,Alberta,Hunter,"Wednesday, December 02, 2009",12,2009,490000,5840000,Mule Deer,Male,Positive
75,Alberta,Hunter,"Friday, February 26, 2010",2,2010,560000,5860000,Mule Deer,Male,Positive
142,Saskatchewan,Hunter,Undetermined,Undetermined,2010,580000,5910000,Mule Deer,Female,Positive
143,Saskatchewan,Hunter,Undetermined,Undetermined,2010,610000,5870000,Mule Deer,Female,Positive
144,Saskatchewan,Hunter,Undetermined,Undetermined,2010,580000,5860000,Mule Deer,Female,Positive
145,Saskatchewan,Hunter,Undetermined,Undetermined,2010,610000,5880000,Mule Deer,Female,Positive
146,Saskatchewan,Hunter,Undetermined,Undetermined,2010,590000,5890000,Mule Deer,Female,Positive
147,Saskatchewan,Hunter,Undetermined,Undetermined,2010,590000,5890000,Mule Deer,Female,Positive
148,Saskatchewan,Hunter,Undetermined,Undetermined,2010,590000,5870000,Mule Deer,Female,Positive
149,Saskatchewan,Hunter,Undetermined,Undetermined,2010,610000,5880000,Mule Deer,Female,Positive
150,Saskatchewan,Hunter,Undetermined,Undetermined,2010,600000,5830000,Mule Deer,Male,Positive
151,Saskatchewan,Hunter,Undetermined,Undetermined,2010,570000,5820000,Mule Deer,Male,Positive
76,Alberta,Hunter,"Tuesday, November 02, 2010",11,2010,500000,5800000,White-tailed Deer,Male,Positive
78,Alberta,Hunter,"Wednesday, November 03, 2010",11,2010,560000,5860000,Mule Deer,Male,Positive
79,Alberta,Hunter,"Monday, November 01, 2010",11,2010,570000,5870000,Mule Deer,Female,Positive
82,Alberta,Hunter,"Sunday, November 07, 2010",11,2010,530000,5810000,Mule Deer,Female,Positive
83,Alberta,Hunter,"Saturday, November 13, 2010",11,2010,520000,5860000,Mule Deer,Female,Positive
84,Alberta,Hunter,"Tuesday, November 16, 2010",11,2010,560000,5780000,White-tailed Deer,Male,Positive
88,Alberta,Hunter,"Wednesday, December 01, 2010",12,2010,490000,5850000,Mule Deer,Male,Positive
89,Alberta,Hunter,"Monday, November 29, 2010",11,2010,490000,5850000,Mule Deer,Male,Positive
90,Alberta,Hunter,"Monday, November 29, 2010",11,2010,520000,5800000,Mule Deer,Male,Positive
91,Alberta,Hunter,"Saturday, November 27, 2010",11,2010,500000,5850000,Mule Deer,Male,Positive
