id,province,sex,species,cwd_status,population
95,Alberta,Male,"White-tailed Deer",Positive," 2,001,524.00 "
96,Alberta,Male,"Mule Deer",Positive," 2,001,524.00 "
97,Alberta,Male,"Mule Deer",Positive," 2,001,524.00 "
98,Alberta,Male,"Mule Deer",Positive," 2,001,524.00 "
99,Alberta,Male,"Mule Deer",Positive," 2,001,524.00 "
100,Alberta,Male,"Mule Deer",Positive," 2,001,524.00 "
101,Alberta,Male,"Mule Deer",Positive," 2,001,524.00 "
102,Alberta,Male,"Mule Deer",Positive," 2,001,524.00 "
103,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
104,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
105,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
106,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
107,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
108,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
109,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
110,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
111,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
112,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
113,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
114,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
115,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
116,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
117,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
118,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
119,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
120,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
121,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
122,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
123,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
124,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
125,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
126,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
127,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
128,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
129,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
130,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
131,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
132,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
133,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
134,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
135,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
136,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
137,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
138,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
139,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
140,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
141,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
142,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
143,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
144,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
145,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
146,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
147,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
148,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
149,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
150,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
151,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
152,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
153,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
154,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
155,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
156,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
157,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
158,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
159,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
160,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
161,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
162,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
163,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
164,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
165,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
166,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
167,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
168,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
169,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
170,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
171,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
172,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
173,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
174,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
175,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
176,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
177,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
178,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
179,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
180,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
181,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
182,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
183,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
184,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
185,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
186,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
187,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
188,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
189,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
190,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
191,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
192,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
193,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
194,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
195,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
196,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
197,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
198,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
199,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
200,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
201,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
202,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
203,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
204,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
205,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
206,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
207,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
208,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
209,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
210,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
211,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
212,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
213,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
214,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
215,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
216,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
217,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
218,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
219,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
220,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
221,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
222,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
223,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
224,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
225,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
226,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
227,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
228,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
229,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
230,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
231,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
232,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
233,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
234,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
235,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
236,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
237,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
238,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
239,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
240,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
241,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
242,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
243,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
244,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
245,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
246,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
247,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
248,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
249,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
250,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
251,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
252,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
253,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
254,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
255,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
256,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
257,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
258,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
259,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
260,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
261,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
262,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
263,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
264,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
265,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
266,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
267,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
268,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
269,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
270,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
271,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
272,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
273,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
274,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
275,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
276,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
277,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
278,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
279,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
280,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
281,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
282,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
283,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
284,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
285,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
286,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
287,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
288,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
289,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
290,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
291,Saskatchewan,Male,"Mule Deer",Negative," 450,418.00 "
292,Saskatchewan,Female,"Mule Deer",Negative," 450,418.00 "
